Sistematic name,Gene name,RA (mol/cell) [Nagalakshmi et al. 2008; Miura et al. 2008],RS (min) [Wang et al. 2002],TR indirect (mol/min) w/o dilution correction,TR (mol/min) w/o dilution correction,TR indirect (mol/min) dilution corrected,TR (mol/min) dilution corrected,RNA pol II density (per kb),RNA pol II  presence (per gene)
YKL171W,,0.4163,15,0.0192,0.0654,0.0218,0.0767,0.0511,0.1424
YKL172W,EBP2,3.4264,14,0.1696,0.3549,0.1907,0.4163,0.2775,0.3561
YKL173W,SNU114,1.3129,8,0.1138,0.0939,0.1218,0.1102,0.0735,0.2223
YKL174C,TPO5,,,,0.0685,,0.0803,0.0536,0.0994
YKL175W,ZRT3,,9,,,,,,
YKL176C,LST4,3.2342,,,0.1060,,0.1244,0.0829,0.2061
YKL177W,,,,,0.0610,,0.0716,0.0477,0.0161
YKL178C,STE3,0.1281,6,0.0148,,0.0156,,,
YKL179C,COY1,0.7365,,,0.1532,,0.1798,0.1199,0.2444
YKL180W,RPL17A,31.4777,21,1.0390,0.4269,1.2321,0.5008,0.3338,0.2871
YKL181W,PRS1,10.2471,16,0.4439,0.4550,0.5068,0.5338,0.3559,0.4566
YKL182W,FAS1,7.7173,31,0.1726,0.6094,0.2199,0.7149,0.4766,2.9336
YKL183C-A,,2.2415,,,,,,,
YKL183W,LOT5,0.9927,25,0.0275,0.2884,0.0336,0.3383,0.2255,0.2075
YKL184W,SPE1,2.5938,14,0.1284,0.1481,0.1443,0.1737,0.1158,0.1621
YKL185W,ASH1,7.5572,16,0.3274,0.3256,0.3737,0.3820,0.2547,0.4497
YKL186C,MTR2,4.0348,13,0.2151,0.1950,0.2399,0.2287,0.1525,0.0845
YKL187C,,0.3202,,,0.0306,,0.0359,0.0239,0.0538
YKL188C,PXA2,0.3522,31,0.0079,0.0295,0.0100,0.0346,0.0231,0.0591
YKL189W,HYM1,1.1848,17,0.0483,0.0484,0.0556,0.0567,0.0378,0.0453
YKL190W,CNB1,5.7640,16,0.2497,0.1437,0.2851,0.1686,0.1124,0.0678
YKL191W,DPH2,1.3449,12,0.0777,0.1093,0.0859,0.1282,0.0855,0.1371
YKL192C,ACP1,5.4437,18,0.2096,0.1261,0.2430,0.1479,0.0986,0.0372
YKL193C,SDS22,1.0247,,,,,,,
YKL194C,MST1,0.0640,36,0.0012,0.0409,0.0016,0.0480,0.0320,0.0444
YKL195W,MIA40,2.8820,,,0.4017,,0.4713,0.3142,0.3805
YKL196C,YKT6,7.3010,9,0.5623,0.1556,0.6071,0.1825,0.1217,0.0732
YKL197C,PEX1,0.4483,31,0.0100,0.1353,0.0128,0.1587,0.1058,0.3312
YKL198C,PTK1,1.4090,29,0.0337,0.2067,0.0423,0.2424,0.1616,0.3150
YKL201C,MNN4,,,,0.0248,,0.0291,0.0194,0.0686
YKL202W,,,,,,,,,
YKL203C,TOR2,1.5371,,,0.0743,,0.0872,0.0581,0.4314
YKL204W,EAP1,1.7612,22,0.0555,0.1431,0.0663,0.1679,0.1119,0.2124
YKL205W,LOS1,2.0174,,,0.0437,,0.0513,0.0342,0.1130
YKL206C,ADD66,,15,,0.1502,,0.1762,0.1175,0.0943
YKL207W,,,22,,0.1275,,0.1495,0.0997,0.0759
YKL208W,CBT1,1.3449,23,0.0405,0.0547,0.0488,0.0641,0.0428,0.0348
YKL209C,STE6,1.4410,30,0.0333,,0.0421,,,
YKL210W,UBA1,14.2178,60,0.1643,0.2960,0.2515,0.3472,0.2315,0.7116
YKL211C,TRP3,3.6505,17,0.1488,0.0682,0.1712,0.0800,0.0534,0.0776
YKL212W,SAC1,3.2983,20,0.1143,0.2035,0.1345,0.2387,0.1591,0.2977
YKL213C,DOA1,2.2736,30,0.0525,,0.0665,,,
YKL214C,YRA2,1.4410,12,0.0832,0.0545,0.0921,0.0639,0.0426,0.0260
YKL215C,,0.3522,32,0.0076,0.0387,0.0098,0.0454,0.0303,0.1169
YKL216W,URA1,11.7841,13,0.6283,0.6910,0.7006,0.8107,0.5405,0.5102
YKL217W,JEN1,0.7685,26,0.0205,0.0492,0.0252,0.0577,0.0385,0.0712
YKL218C,SRY1,3.2342,16,0.1401,0.0539,0.1600,0.0632,0.0422,0.0413
YKL219W,COS9,0.3843,20,0.0133,,0.0157,,,
YKL220C,FRE2,0.2882,16,0.0125,0.0615,0.0143,0.0722,0.0481,0.1027
YKL221W,MCH2,0.1921,15,0.0089,0.0162,0.0101,0.0190,0.0126,0.0180
YKL222C,,0.1281,19,0.0047,0.0442,0.0055,0.0519,0.0346,0.0732
YKL223W,,,5,,,,,,
YKL224C,,,,,,,,,
YKL225W,,,8,,,,,,
YKR001C,VPS1,3.9387,33,0.0827,0.0995,0.1069,0.1168,0.0778,0.1645
YKR002W,PAP1,0.7045,,,0.0742,,0.0870,0.0580,0.0990
YKR003W,OSH6,,12,,0.0611,,0.0717,0.0478,0.0643
YKR004C,ECM9,,35,,0.1203,,0.1411,0.0941,0.1164
YKR005C,,0.5124,35,0.0101,,0.0133,,,
YKR006C,MRPL13,2.8500,21,0.0941,0.0593,0.1116,0.0696,0.0464,0.0369
YKR007W,MEH1,0.3843,15,0.0178,0.1316,0.0201,0.1544,0.1030,0.0570
YKR008W,RSC4,0.8326,15,0.0385,0.1118,0.0436,0.1312,0.0875,0.1642
YKR009C,FOX2,0.7365,35,0.0146,,0.0191,,,
YKR010C,TOF2,0.2562,29,0.0061,0.0639,0.0077,0.0750,0.0500,0.1157
YKR011C,,2.1775,34,0.0444,0.0768,0.0577,0.0901,0.0601,0.0637
YKR012C,,0.5124,,,0.1470,,0.1724,0.1150,0.0433
YKR013W,PRY2,9.7027,17,0.3956,0.1294,0.4551,0.1518,0.1012,0.1001
YKR014C,YPT52,6.4364,23,0.1940,0.1115,0.2335,0.1308,0.0872,0.0614
YKR015C,,0.1281,,,0.0316,,0.0370,0.0247,0.0421
YKR016W,,3.4584,26,0.0922,0.0801,0.1134,0.0940,0.0626,0.1016
YKR017C,,0.6404,30,0.0148,0.0595,0.0187,0.0698,0.0465,0.0770
YKR018C,,4.1308,32,0.0895,0.1465,0.1148,0.1719,0.1146,0.2495
YKR019C,IRS4,0.2882,31,0.0064,0.1055,0.0082,0.1238,0.0825,0.1524
YKR020W,VPS51,1.3129,13,0.0700,0.2275,0.0781,0.2669,0.1779,0.0879
YKR021W,,0.7045,25,0.0195,0.0689,0.0239,0.0808,0.0539,0.1480
YKR022C,NTR2,1.4730,10,0.1021,0.0868,0.1111,0.1018,0.0679,0.0657
YKR023W,,1.2809,,,0.0648,,0.0760,0.0507,0.0807
YKR024C,DBP7,0.4803,,,0.1248,,0.1464,0.0976,0.2174
YKR025W,RPC37,8.8701,13,0.4729,0.2412,0.5274,0.2830,0.1886,0.1600
YKR026C,GCN3,5.0275,9,0.3872,0.1927,0.4180,0.2261,0.1507,0.1382
YKR027W,BCH2,1.3449,10,0.0932,0.0901,0.1015,0.1056,0.0704,0.1618
YKR028W,SAP190,,10,,0.2425,,0.2844,0.1896,0.6250
YKR029C,SET3,,12,,0.0716,,0.0841,0.0560,0.1264
YKR030W,GMH1,1.1528,33,0.0242,0.0554,0.0313,0.0650,0.0433,0.0356
YKR031C,SPO14,0.9607,22,0.0303,,0.0362,,,
YKR032W,,,,,,,,,
YKR033C,,,35,,,,,,
YKR034W,DAL80,0.0640,54,0.0008,,0.0012,,,
YKR035C,OPI8,,9,,0.0990,,0.1162,0.0774,0.0496
YKR035W-A,DID2,,,,0.1748,,0.2051,0.1367,0.0839
YKR036C,CAF4,1.0247,11,0.0646,0.1017,0.0709,0.1193,0.0795,0.1535
YKR037C,SPC34,0.7365,,,0.0620,,0.0728,0.0485,0.0430
YKR038C,KAE1,0.8966,,,0.1627,,0.1909,0.1273,0.1476
YKR039W,GAP1,0.5124,33,0.0108,0.0105,0.0139,0.0124,0.0082,0.0149
YKR040C,,,65,,,,,,
YKR041W,,0.0640,,,0.0915,,0.1073,0.0716,0.0538
YKR042W,UTH1,12.4886,30,0.2885,0.8374,0.3652,0.9824,0.6549,0.7185
YKR043C,,8.1656,16,0.3537,0.3437,0.4038,0.4032,0.2688,0.2191
YKR044W,UIP5,,35,,0.2197,,0.2577,0.1718,0.2287
YKR045C,,,15,,0.1535,,0.1800,0.1200,0.0661
YKR046C,PET10,1.4410,77,0.0130,0.1767,0.0218,0.2073,0.1382,0.1176
YKR047W,,,30,,0.2766,,0.3245,0.2163,0.0660
YKR048C,NAP1,,36,,0.3613,,0.4239,0.2826,0.3541
YKR049C,FMP46,4.0988,49,0.0580,0.1343,0.0831,0.1575,0.1050,0.0421
YKR050W,TRK2,0.8006,27,0.0206,0.0278,0.0255,0.0326,0.0217,0.0580
YKR051W,,1.3129,38,0.0239,0.0674,0.0320,0.0791,0.0527,0.0662
YKR052C,MRS4,0.3202,35,0.0063,0.0979,0.0083,0.1148,0.0766,0.0700
YKR053C,YSR3,0.9607,24,0.0277,0.1561,0.0336,0.1831,0.1221,0.1482
YKR054C,DYN1,0.4163,32,0.0090,0.0491,0.0116,0.0576,0.0384,0.4712
YKR055W,RHO4,1.3449,26,0.0359,0.0413,0.0441,0.0484,0.0323,0.0282
YKR056W,TRM2,2.0814,9,0.1603,0.1225,0.1731,0.1437,0.0958,0.1839
YKR057W,RPS21A,47.5207,27,1.2200,0.4195,1.5115,0.4921,0.3281,0.1919
YKR058W,GLG1,4.9314,39,0.0876,,0.1179,,,
YKR059W,TIF1,52.2920,17,2.1321,0.1934,2.4529,0.2269,0.1513,0.1796
YKR060W,UTP30,1.4410,21,0.0476,0.1529,0.0564,0.1794,0.1196,0.0986
YKR061W,KTR2,1.2809,54,0.0164,0.0961,0.0243,0.1127,0.0752,0.0960
YKR062W,TFA2,3.8106,11,0.2401,0.1097,0.2635,0.1287,0.0858,0.0846
YKR063C,LAS1,2.0494,27,0.0526,0.0969,0.0652,0.1137,0.0758,0.1143
YKR064W,,1.3449,24,0.0388,,0.0471,,,
YKR065C,PAM17,2.4017,35,0.0476,0.1533,0.0623,0.1799,0.1199,0.0711
YKR066C,CCP1,4.4190,25,0.1225,0.1681,0.1496,0.1973,0.1315,0.1427
YKR067W,GPT2,0.6404,50,0.0089,0.0403,0.0128,0.0473,0.0315,0.0703
YKR068C,BET3,1.0567,12,0.0610,0.2436,0.0675,0.2858,0.1905,0.1107
YKR069W,MET1,2.1455,53,0.0281,0.0691,0.0412,0.0811,0.0541,0.0963
YKR070W,,5.3797,54,0.0691,0.1276,0.1021,0.1497,0.0998,0.1056
YKR071C,DRE2,10.8875,18,0.4193,0.2376,0.4860,0.2787,0.1858,0.1944
YKR072C,SIS2,3.0101,15,0.1391,0.3769,0.1576,0.4421,0.2947,0.4975
YKR073C,,,,,0.0524,,0.0615,0.0410,0.0131
YKR074W,,1.7612,14,0.0872,0.1433,0.0980,0.1681,0.1120,0.0523
YKR075C,,1.0247,,,,,,,
YKR075W-A,,,,,,,,,
YKR076W,ECM4,0.5764,33,0.0121,0.0408,0.0156,0.0479,0.0319,0.0355
YKR077W,,0.6725,,,0.0746,,0.0875,0.0584,0.0637
YKR078W,,,12,,0.0422,,0.0495,0.0330,0.0580
YKR079C,TRZ1,,,,,,,,
YKR080W,MTD1,14.2178,25,0.3942,,0.4814,,,
YKR081C,RPF2,1.8253,10,0.1265,0.2085,0.1377,0.2446,0.1631,0.1686
YKR082W,NUP133,2.8179,30,0.0651,0.0813,0.0824,0.0954,0.0636,0.2209
YKR083C,DAD2,1.3449,21,0.0444,0.2357,0.0526,0.2765,0.1843,0.0739
YKR084C,HBS1,1.9854,10,0.1376,0.0862,0.1498,0.1012,0.0675,0.1238
YKR085C,MRPL20,2.3056,8,0.1998,0.1764,0.2139,0.2070,0.1380,0.0810
YKR086W,PRP16,0.1281,14,0.0063,0.0918,0.0071,0.1077,0.0718,0.2308
YKR087C,OMA1,0.9607,15,0.0444,0.1603,0.0503,0.1881,0.1254,0.1300
YKR088C,TVP38,3.5224,27,0.0904,,0.1120,,,
YKR089C,TGL4,1.0567,29,0.0253,0.0653,0.0317,0.0766,0.0510,0.1394
YKR090W,PXL1,1.0247,12,0.0592,0.1235,0.0655,0.1448,0.0966,0.2047
YKR091W,SRL3,3.0101,102,0.0205,0.1141,0.0389,0.1338,0.0892,0.0660
YKR092C,SRP40,6.6286,12,0.3829,0.2392,0.4235,0.2806,0.1870,0.2282
YKR093W,PTR2,1.6011,12,0.0925,0.0941,0.1023,0.1104,0.0736,0.1328
YKR094C,RPL40B,,23,,0.4446,,0.5215,0.3477,0.2622
YKR095W,MLP1,1.5050,35,0.0298,,0.0390,,,
YKR095W-A,PCC1,1.5691,,,,,,,
YKR096W,,1.2489,32,0.0271,0.0910,0.0347,0.1067,0.0711,0.2552
YKR097W,PCK1,0.1921,35,0.0038,0.0225,0.0050,0.0264,0.0176,0.0290
YKR098C,UBP11,0.8326,69,0.0084,0.0331,0.0135,0.0388,0.0259,0.0557
YKR099W,BAS1,0.5764,26,0.0154,0.1228,0.0189,0.1441,0.0961,0.2339
YKR100C,SKG1,2.2095,34,0.0450,0.1746,0.0586,0.2048,0.1365,0.1457
YKR101W,SIR1,0.3843,,,0.0681,,0.0799,0.0533,0.1084
YKR102W,FLO10,0.3843,43,0.0062,0.0253,0.0086,0.0296,0.0198,0.0693
YKR103W,NFT1,,27,,0.0371,,0.0435,0.0290,0.1061
YKR104W,,0.3202,31,0.0072,0.0231,0.0091,0.0271,0.0181,0.0166
YKR105C,,,,,0.0342,,0.0401,0.0268,0.0468
YKR106W,,,18,,,,,,
YLL001W,DNM1,2.0814,15,0.0962,0.1122,0.1090,0.1316,0.0877,0.1994
YLL002W,RTT109,0.7045,13,0.0376,0.0652,0.0419,0.0765,0.0510,0.0668
YLL003W,SFI1,0.7365,,,0.0659,,0.0773,0.0515,0.1463
YLL004W,ORC3,0.5764,,,0.0824,,0.0966,0.0644,0.1192
YLL005C,SPO75,,,,0.0311,,0.0365,0.0243,0.0634
YLL006W,MMM1,,,,0.0416,,0.0488,0.0325,0.0416
YLL006W-A,,,,,,,,,
YLL007C,,0.0640,39,0.0011,0.0929,0.0015,0.1090,0.0726,0.1451
YLL008W,DRS1,0.8646,7,0.0856,0.2155,0.0909,0.2528,0.1685,0.3806
YLL009C,COX17,6.3083,,,0.3867,,0.4536,0.3024,0.0632
YLL010C,PSR1,0.9286,,,0.2068,,0.2426,0.1617,0.2075
YLL011W,SOF1,1.4410,12,0.0832,0.1691,0.0921,0.1984,0.1323,0.1943
YLL012W,YEH1,0.5764,,,0.0540,,0.0634,0.0422,0.0727
YLL013C,PUF3,0.1921,,,0.0806,,0.0945,0.0630,0.1663
YLL014W,,5.0275,23,0.1515,0.0831,0.1824,0.0975,0.0650,0.0212
YLL015W,BPT1,1.1528,,,0.0882,,0.1035,0.0690,0.3229
YLL018C,DPS1,12.4886,35,0.2473,1.1051,0.3239,1.2965,0.8643,1.4460
YLL018C-A,COX19,0.3202,,,,,,,
YLL019C,KNS1,,30,,0.1392,,0.1633,0.1089,0.2409
YLL019W-A,,,,,,,,,
YLL020C,,0.5764,42,0.0095,,0.0130,,,
YLL021W,SPA2,1.1528,17,0.0470,0.0818,0.0541,0.0960,0.0640,0.2816
YLL022C,HIF1,1.6651,21,0.0550,0.0536,0.0652,0.0628,0.0419,0.0485
YLL023C,,5.9881,29,0.1431,0.2503,0.1799,0.2936,0.1957,0.1642
YLL024C,SSA2,43.2298,134,0.2236,,0.4888,,,
YLL025W,,0.3202,,,0.0394,,0.0462,0.0308,0.0115
YLL026W,HSP104,93.9527,,,0.5340,,0.6264,0.4176,1.1384
YLL027W,ISA1,1.3769,9,0.1060,0.2732,0.1145,0.3206,0.2137,0.1607
YLL028W,TPO1,1.6972,34,0.0346,0.0566,0.0450,0.0664,0.0443,0.0779
YLL029W,,3.2662,19,0.1192,0.2130,0.1392,0.2499,0.1666,0.3746
YLL030C,,0.0640,37,0.0012,0.0256,0.0016,0.0300,0.0200,0.0068
YLL031C,GPI13,0.5764,11,0.0363,0.0937,0.0399,0.1099,0.0733,0.2238
YLL032C,,0.7045,,,0.0408,,0.0479,0.0319,0.0790
YLL033W,,1.6651,13,0.0888,0.0419,0.0990,0.0492,0.0328,0.0227
YLL034C,RIX7,0.2562,13,0.0137,0.0514,0.0152,0.0603,0.0402,0.1009
YLL035W,GRC3,0.2562,,,0.0685,,0.0803,0.0535,0.1016
YLL036C,PRP19,,9,,0.1342,,0.1574,0.1050,0.1586
YLL037W,,,,,0.1011,,0.1186,0.0791,0.0301
YLL038C,ENT4,0.4483,18,0.0173,0.1922,0.0200,0.2255,0.1503,0.1117
YLL039C,UBI4,8.9662,130,0.0478,0.3822,0.1028,0.4484,0.2989,0.3423
YLL040C,VPS13,2.1455,26,0.0572,0.0438,0.0704,0.0514,0.0343,0.3231
YLL041C,SDH2,2.7539,36,0.0530,0.0644,0.0699,0.0756,0.0504,0.0403
YLL042C,ATG10,1.2809,,,,,,,
YLL043W,FPS1,2.4977,18,0.0962,0.1153,0.1115,0.1353,0.0902,0.1812
YLL044W,,,26,,0.3865,,0.4535,0.3023,0.1348
YLL045C,RPL8B,49.3140,21,1.6277,0.7930,1.9302,0.9303,0.6202,0.4775
YLL046C,RNP1,,36,,0.0162,,0.0190,0.0126,0.0095
YLL047W,,,26,,0.0881,,0.1033,0.0689,0.0264
YLL048C,YBT1,,26,,0.1018,,0.1194,0.0796,0.3967
YLL049W,LDB18,,37,,,,,,
YLL050C,COF1,18.9571,59,0.2227,0.3476,0.3390,0.4078,0.2719,0.1658
YLL051C,FRE6,1.9533,16,0.0846,0.1009,0.0966,0.1183,0.0789,0.1687
YLL052C,AQY2,,24,,,,,,
YLL053C,,1.4090,45,0.0217,0.1889,0.0303,0.2216,0.1477,0.0677
YLL054C,,0.2562,,,0.0625,,0.0733,0.0489,0.1129
YLL055W,,2.0814,119,0.0121,0.0318,0.0249,0.0373,0.0248,0.0396
YLL056C,,0.3202,,,0.0422,,0.0495,0.0330,0.0296
YLL057C,JLP1,0.6404,34,0.0131,0.0445,0.0170,0.0522,0.0348,0.0431
YLL058W,,0.5124,24,0.0148,0.0602,0.0179,0.0706,0.0471,0.0813
YLL059C,,0.0640,,,0.0424,,0.0497,0.0331,0.0168
YLL060C,GTT2,0.3202,,,,,,,
YLL061W,MMP1,1.1848,27,0.0304,0.0198,0.0377,0.0232,0.0155,0.0271
YLL062C,MHT1,1.8253,,,0.0160,,0.0188,0.0125,0.0122
YLL063C,AYT1,0.3843,18,0.0148,0.0242,0.0172,0.0284,0.0189,0.0269
YLL064C,,,,,0.0173,,0.0203,0.0135,0.0049
YLL065W,,,,,,,,,
YLL066C,,,3,,,,,,
YLL066W-A,,,,,,,,,
YLL066W-B,,,,,,,,,
YLL067C,,,4,,,,,,
YLL067W-A,,,,,,,,,
YLR001C,,0.4483,,,0.0388,,0.0455,0.0303,0.0785
YLR002C,NOC3,3.7466,,,0.1429,,0.1677,0.1118,0.2225
YLR003C,,1.2168,17,0.0496,0.0874,0.0571,0.1025,0.0684,0.0598
YLR004C,,0.1601,,,0.0405,,0.0475,0.0317,0.0497
YLR005W,SSL1,0.9286,,,0.0732,,0.0859,0.0573,0.0793
YLR006C,SSK1,0.5764,23,0.0174,0.0735,0.0209,0.0863,0.0575,0.1230
YLR007W,NSE1,2.7219,11,0.1715,0.0986,0.1882,0.1157,0.0771,0.0779
YLR008C,PAM18,1.8573,20,0.0644,0.1162,0.0758,0.1363,0.0908,0.0460
YLR009W,RLP24,3.0101,7,0.2981,,0.3165,,,
YLR010C,TEN1,0.3202,,,0.0784,,0.0919,0.0613,0.0295
YLR011W,LOT6,0.5124,,,0.0961,,0.1127,0.0752,0.0432
YLR012C,,0.0640,75,0.0006,,0.0010,,,
YLR013W,GAT3,0.0320,,,,,,,
YLR014C,PPR1,0.6404,,,0.0428,,0.0502,0.0335,0.0909
YLR015W,BRE2,,14,,0.0693,,0.0813,0.0542,0.0822
YLR016C,PML1,,24,,0.1818,,0.2133,0.1422,0.0873
YLR017W,MEU1,,11,,0.1185,,0.1390,0.0927,0.0939
YLR018C,POM34,,12,,0.1431,,0.1678,0.1119,0.1006
YLR019W,PSR2,1.5691,12,0.0906,,0.1003,,,
YLR020C,YEH2,1.0567,9,0.0814,0.0770,0.0879,0.0903,0.0602,0.0973
YLR021W,,,33,,0.0857,,0.1005,0.0670,0.0361
YLR022C,,,13,,0.1720,,0.2017,0.1345,0.1011
YLR023C,IZH3,1.5050,17,0.0614,0.0608,0.0706,0.0713,0.0475,0.0775
YLR024C,UBR2,0.3202,19,0.0117,0.0569,0.0136,0.0668,0.0445,0.2500
YLR025W,SNF7,5.1876,28,0.1284,0.1278,0.1602,0.1499,0.1000,0.0722
YLR026C,SED5,1.7932,6,0.2072,0.1159,0.2182,0.1359,0.0906,0.0926
YLR027C,AAT2,19.2453,23,0.5800,0.3109,0.6980,0.3647,0.2431,0.3054
YLR028C,ADE16,15.4987,15,0.7162,0.2414,0.8113,0.2831,0.1888,0.3351
YLR029C,RPL15A,53.1566,18,2.0470,0.7935,2.3730,0.9309,0.6206,0.3811
YLR030W,,0.2562,34,0.0052,0.0655,0.0068,0.0768,0.0512,0.0405
YLR031W,,1.0247,50,0.0142,0.1723,0.0205,0.2021,0.1347,0.0754
YLR032W,RAD5,0.2562,21,0.0085,0.0708,0.0100,0.0831,0.0554,0.1943
YLR033W,RSC58,1.6972,13,0.0905,0.0995,0.1009,0.1167,0.0778,0.1173
YLR034C,SMF3,0.4483,27,0.0115,0.0741,0.0143,0.0870,0.0580,0.0824
YLR035C,MLH2,0.1921,,,0.0538,,0.0632,0.0421,0.0879
YLR036C,,0.3843,21,0.0127,0.0797,0.0150,0.0935,0.0623,0.0381
YLR037C,DAN2,0.3843,,,,,,,
YLR038C,COX12,3.3943,25,0.0941,0.1202,0.1149,0.1411,0.0940,0.0236
YLR039C,RIC1,0.8006,37,0.0150,0.0777,0.0199,0.0911,0.0607,0.1925
YLR040C,,0.4483,10,0.0311,0.0504,0.0338,0.0591,0.0394,0.0265
YLR041W,,0.3843,13,0.0205,0.0719,0.0228,0.0844,0.0562,0.0180
YLR042C,,0.5764,,,0.0399,,0.0468,0.0312,0.0151
YLR043C,TRX1,12.9369,,,0.1560,,0.1830,0.1220,0.0379
YLR044C,PDC1,154.7626,27,3.9731,0.3072,4.9224,0.3604,0.2403,0.4063
YLR045C,STU2,0.4483,16,0.0194,0.1383,0.0222,0.1623,0.1082,0.2884
YLR046C,,1.0247,46,0.0154,0.1011,0.0217,0.1186,0.0790,0.0642
YLR047C,FRE8,0.1921,,,0.0692,,0.0812,0.0541,0.1115
YLR048W,RPS0B,26.0980,21,0.8614,0.4063,1.0215,0.4766,0.3177,0.3549
YLR049C,,1.0567,16,0.0458,0.0588,0.0523,0.0690,0.0460,0.0592
YLR050C,,2.8500,37,0.0534,,0.0709,,,
YLR051C,FCF2,3.2022,16,0.1387,0.2912,0.1584,0.3416,0.2277,0.1487
YLR052W,IES3,1.8893,13,0.1007,0.1692,0.1123,0.1985,0.1323,0.0995
YLR053C,,0.3202,,,0.1042,,0.1223,0.0815,0.0266
YLR054C,OSW2,0.6404,,,0.0193,,0.0227,0.0151,0.0342
YLR055C,SPT8,2.5297,9,0.1948,,0.2103,,,
YLR056W,ERG3,9.6066,10,0.6659,0.2518,0.7248,0.2954,0.1969,0.2160
YLR057W,,1.8253,,,0.0619,,0.0726,0.0484,0.1234
YLR058C,SHM2,20.1419,42,0.3324,0.0628,0.4560,0.0737,0.0491,0.0692
YLR059C,REX2,2.6578,9,0.2047,0.1475,0.2210,0.1730,0.1153,0.0933
YLR060W,FRS1,5.6999,18,0.2195,0.2055,0.2545,0.2411,0.1607,0.2872
YLR061W,RPL22A,,20,,0.6942,,0.8144,0.5429,0.4094
YLR062C,BUD28,,20,,,,,,
YLR063W,,0.5444,34,0.0111,0.1939,0.0144,0.2275,0.1516,0.1664
YLR064W,,,57,,0.1038,,0.1217,0.0812,0.0666
YLR065C,,,9,,0.1172,,0.1375,0.0916,0.0499
YLR066W,SPC3,,23,,0.0861,,0.1010,0.0673,0.0373
YLR067C,PET309,,,,0.0581,,0.0682,0.0455,0.1317
YLR068W,FYV7,1.6651,48,0.0240,0.1495,0.0343,0.1754,0.1170,0.0532
YLR069C,MEF1,1.3769,20,0.0477,0.0921,0.0562,0.1080,0.0720,0.1645
YLR070C,XYL2,0.3843,,,0.0367,,0.0430,0.0287,0.0307
YLR071C,RGR1,0.9286,14,0.0460,0.1318,0.0517,0.1547,0.1031,0.3349
YLR072W,,,83,,0.0863,,0.1013,0.0675,0.1405
YLR073C,,,,,0.1549,,0.1817,0.1211,0.0729
YLR074C,BUD20,3.2983,13,0.1759,0.3528,0.1961,0.4138,0.2759,0.1379
YLR075W,RPL10,,25,,1.1279,,1.3232,0.8821,0.5866
YLR076C,,,31,,1.2419,,1.4569,0.9713,0.4099
YLR077W,,1.0247,,,0.1248,,0.1465,0.0976,0.1710
YLR078C,BOS1,7.6212,17,0.3107,0.1000,0.3575,0.1173,0.0782,0.0644
YLR079W,SIC1,3.5865,9,0.2762,0.3389,0.2982,0.3976,0.2650,0.2263
YLR080W,EMP46,0.8326,37,0.0156,0.0148,0.0207,0.0173,0.0116,0.0154
YLR081W,GAL2,0.0640,,,0.0214,,0.0251,0.0167,0.0289
YLR082C,SRL2,0.5764,,,0.0933,,0.1094,0.0730,0.0860
YLR083C,EMP70,2.3376,11,0.1473,0.1059,0.1616,0.1242,0.0828,0.1659
YLR084C,RAX2,0.2882,22,0.0091,0.0669,0.0108,0.0784,0.0523,0.1915
YLR085C,ARP6,1.3449,33,0.0282,0.1239,0.0365,0.1453,0.0969,0.1275
YLR086W,SMC4,1.5371,20,0.0533,0.0944,0.0627,0.1107,0.0738,0.3141
YLR087C,CSF1,0.1921,,,,,,,
YLR088W,GAA1,2.1775,21,0.0719,0.0624,0.0852,0.0732,0.0488,0.0900
YLR089C,,2.5938,19,0.0946,,0.1105,,,
YLR090W,XDJ1,1.0247,24,0.0296,0.1491,0.0359,0.1749,0.1166,0.1608
YLR091W,,0.4483,20,0.0155,0.1365,0.0183,0.1601,0.1068,0.0941
YLR092W,SUL2,0.5444,,,0.0620,,0.0728,0.0485,0.1301
YLR093C,NYV1,7.1089,10,0.4928,0.1507,0.5364,0.1768,0.1179,0.1063
YLR094C,GIS3,1.1528,,,0.2767,,0.3246,0.2164,0.3263
YLR095C,IOC2,1.1848,26,0.0316,0.1354,0.0389,0.1589,0.1059,0.2582
YLR096W,KIN2,1.7612,15,0.0814,0.1197,0.0922,0.1405,0.0936,0.3224
YLR097C,HRT3,0.8326,44,0.0131,0.0804,0.0182,0.0943,0.0629,0.0650
YLR098C,CHA4,0.3202,37,0.0060,0.1005,0.0080,0.1179,0.0786,0.1529
YLR099C,ICT1,4.6112,35,0.0913,0.2122,0.1196,0.2490,0.1660,0.1965
YLR099W-A,,1.6972,,,,,,,
YLR100W,ERG27,,18,,0.2038,,0.2391,0.1594,0.1663
YLR101C,,,16,,0.2423,,0.2843,0.1895,0.0749
YLR102C,APC9,,,,0.0842,,0.0987,0.0658,0.0525
YLR103C,CDC45,0.5124,,,0.0653,,0.0766,0.0511,0.0997
YLR104W,,,12,,,,,,
YLR105C,SEN2,,,,0.1011,,0.1186,0.0791,0.0896
YLR106C,MDN1,4.7713,,,,,,,
YLR107W,REX3,2.8179,17,0.1149,0.0693,0.1322,0.0812,0.0542,0.0658
YLR108C,,0.4483,32,0.0097,0.1273,0.0125,0.1493,0.0995,0.1450
YLR109W,AHP1,141.5695,78,1.2581,0.7103,2.1265,0.8333,0.5555,0.2944
YLR110C,CCW12,488.6564,35,9.6775,0.8823,12.6749,1.0351,0.6901,0.2767
